Timestamp,How stressed do you feel right now?,What time did you sleep last night?,What time did you wake up today?,Did you feel lethargic when you woke up today?,What activities did you do/are you doing today?,How much did you spend today?,How happy do you feel overall today?,"Overall, did you enjoy/are you enjoying today more than yesterday?"
2/1/2023 20:15:29,5,1:00:00 AM,11:00:00 AM,Yes,"Attend classes, Watch shows/entertainment activities, Drink coffee",$10-20,7,Yes
2/2/2023 20:21:46,5,1:00:00 AM,9:15:00 AM,Yes,"Attend classes, Study/complete assignments",$0-10,6,About the same
2/3/2023 20:19:07,4,1:00:00 AM,7:00:00 AM,Yes,"Go out with friends, Drink coffee",$30-40,7,Yes
2/4/2023 20:28:40,2,11:00:00 PM,8:00:00 AM,Yes,Go out with friends,$30-40,8,Yes
2/5/2023 20:17:33,4,12:00:00 AM,9:00:00 AM,Yes,Go out with friends,>$50,8,About the same
2/6/2023 20:37:10,8,1:00:00 AM,8:00:00 AM,Yes,"Attend classes, Study/complete assignments",$20-30,5,No
2/7/2023 20:17:43,4,12:30:00 AM,9:30:00 AM,Yes,"Attend classes, Study/complete assignments",$20-30,5,About the same
2/8/2023 23:05:33,8,2:00:00 AM,10:00:00 AM,Yes,"Attend classes, Study/complete assignments, Drink coffee",$10-20,2,No
2/9/2023 20:32:02,5,1:00:00 AM,7:00:00 AM,Yes,"Attend classes, Study/complete assignments, Drink coffee, Midterms",$0-10,2,About the same
2/10/2023 20:26:44,7,4:00:00 AM,10:00:00 AM,No,"Study/complete assignments, Go out with friends, Drink coffee",$30-40,5,Yes
2/11/2023 22:52:00,6,6:00:00 AM,12:30:00 PM,No,"Study/complete assignments, Go out with friends, Watch shows/entertainment activities",>$50,7,Yes
2/12/2023 20:22:30,6,3:00:00 AM,11:30:00 AM,No,"Study/complete assignments, Go out with friends, Watch shows/entertainment activities",$10-20,6,About the same
2/13/2023 21:10:25,7,2:00:00 AM,11:00:00 AM,No,"Study/complete assignments, Drink coffee",$0-10,4,About the same
2/14/2023 20:25:20,4,1:00:00 AM,9:00:00 AM,No,"Drink coffee, midterm",$0-10,4,About the same
2/15/2023 20:31:16,2,3:00:00 AM,10:00:00 AM,No,"Attend classes, Study/complete assignments, Watch shows/entertainment activities, exam",$0-10,6,Yes
2/16/2023 20:15:50,3,1:00:00 AM,9:20:00 AM,No,Attend classes,$30-40,5,Yes
2/18/2023 20:35:50,3,1:30:00 AM,11:30:00 AM,No,Watch shows/entertainment activities,$0-10,7,Yes
2/19/2023 20:30:15,2,12:00:00 AM,10:00:00 AM,No,Watch shows/entertainment activities,$30-40,7,About the same
2/20/2023 20:24:25,2,3:00:00 AM,11:15:00 AM,Yes,"Attend classes, Watch shows/entertainment activities",$0-10,5,About the same
2/21/2023 20:16:33,2,2:30:00 AM,9:15:00 AM,Yes,"Attend classes, Watch shows/entertainment activities",$20-30,7,About the same
2/22/2023 21:54:58,1,1:00:00 AM,11:00:00 AM,Yes,Attend classes,$20-30,5,About the same
2/23/2023 20:23:55,2,1:00:00 AM,10:00:00 AM,Yes,"Attend classes, Watch shows/entertainment activities",>$50,7,About the same
2/24/2023 20:53:24,2,5:00:00 AM,11:15:00 AM,Yes,"Go out with friends",>$50,7,Yes
2/25/2023 22:33:34,1,5:00:00 AM,1:00:00 PM,No,"Go out with friends, Watch shows/entertainment activities",$10-20,7,Yes
2/26/2023 23:08:09,2,3:00:00 AM,11:00:00 AM,No,"Study/complete assignments, Watch shows/entertainment activities",$0-10,5,About the same
2/27/2023 20:18:20,2,2:00:00 AM,11:30:00 AM,No,"Watch shows/entertainment activities",$0-10,6,About the same
2/28/2023 20:15:09,2,3:15:00 AM,9:40:00 AM,Yes,"Study/complete assignments, Watch shows/entertainment activities",$30-40,6,About the same
3/1/2023 20:15:08,2,3:00:00 AM,11:30:00 AM,No,Attend classes,$0-10,5,About the same
3/2/2023 20:45:40,2,3:00:00 AM,9:45:00 AM,Yes,"Attend classes, Study/complete assignments",$20-30,5,About the same
3/3/2023 22:20:40,3,2:00:00 AM,11:30:00 AM,No,Study/complete assignments,$0-10,4,About the same
3/4/2023 21:37:01,2,1:00:00 AM,11:30:00 AM,No,Watch shows/entertainment activities,$0-10,6,Yes
3/5/2023 20:17:07,2,12:00:00 AM,7:00:00 AM,No,Go out with friends,>$50,7,Yes
3/6/2023 20:37:31,1,1:00:00 AM,7:30:00 AM,No,Go out with friends,>$50,8,About the same
3/7/2023 20:27:01,2,1:30:00 AM,7:30:00 AM,No,Go out with friends,>$50,7,No
3/8/2023 20:54:15,1,5:00:00 AM,9:00:00 AM,Yes,Go out with friends,>$50,8,Yes
3/9/2023 20:14:44,2,1:00:00 AM,8:00:00 AM,Yes,Go out with friends,>$50,6,No
3/10/2023 20:25:35,1,2:00:00 AM,7:00:00 AM,Yes,Go out with friends,$40-50,8,Yes
3/11/2023 21:14:13,2,2:30:00 AM,9:00:00 AM,Yes,Go out with friends,>$50,7,About the same
3/12/2023 20:14:01,3,1:30:00 AM,11:00:00 AM,No,Watch shows/entertainment activities,$0-10,6,No
3/13/2023 23:51:56,4,4:30:00 AM,11:00:00 AM,Yes,"Attend classes, Study/complete assignments",$0-10,5,No
3/14/2023 20:23:11,6,3:00:00 AM,10:00:00 AM,No,"Attend classes, Study/complete assignments, Drink coffee",$20-30,6,About the same
3/15/2023 20:27:13,5,2:15:00 AM,11:30:00 AM,Yes,"Attend classes, Study/complete assignments",$0-10,4,About the same
3/16/2023 20:23:17,6,3:00:00 AM,10:15:00 AM,Yes,"Attend classes, Study/complete assignments",$10-20,5,About the same
3/17/2023 20:14:19,6,3:00:00 AM,11:30:00 AM,Yes,Watch shows/entertainment activities,$0-10,7,Yes
3/18/2023 23:02:25,7,2:00:00 AM,11:00:00 AM,No,Study/complete assignments,$10-20,5,No
3/19/2023 21:12:51,7,1:45:00 AM,11:15:00 AM,Yes,"Study/complete assignments, Drink coffee",$10-20,4,No
3/20/2023 20:15:54,7,3:00:00 AM,11:00:00 AM,Yes,"Study/complete assignments, Drink coffee",$0-10,5,About the same
3/21/2023 20:44:41,8,3:00:00 AM,11:30:00 AM,No,"Attend classes, Study/complete assignments, Drink coffee",$0-10,5,Yes
3/22/2023 20:25:40,9,4:00:00 AM,10:30:00 AM,No,"Study/complete assignments, Midterm",$0-10,3,No
3/23/2023 20:16:22,5,3:00:00 AM,11:00:00 AM,No,"Study/complete assignments, Exam",$0-10,5,Yes
3/24/2023 20:52:04,3,3:00:00 AM,5:00:00 AM,Yes,Go out with friends,>$50,8,Yes
3/25/2023 22:53:20,4,2:00:00 AM,11:00:00 AM,No,"Go out with friends, Drink coffee",$40-50,7,About the same
3/26/2023 20:17:28,5,2:00:00 AM,10:30:00 AM,No,"Go out with friends, Drink coffee",>$50,7,About the same
3/27/2023 20:14:11,5,3:00:00 AM,11:30:00 AM,Yes,"Attend classes, Study/complete assignments, Go out with friends, Watch shows/entertainment activities",$20-30,6,No
3/28/2023 20:22:55,6,3:00:00 AM,10:30:00 AM,Yes,"Attend classes, Study/complete assignments, Watch shows/entertainment activities",$0-10,5,About the same
3/29/2023 20:28:28,7,2:00:00 AM,11:30:00 AM,No,"Attend classes, Study/complete assignments",$0-10,5,About the same
3/30/2023 20:33:16,6,3:00:00 AM,9:30:00 AM,No,"Attend classes, Study/complete assignments, Go out with friends",$0-10,6,Yes
3/31/2023 20:18:28,6,3:00:00 AM,8:15:00 AM,No,Go out with friends,>$50,7,Yes
4/1/2023 20:39:06,7,4:00:00 AM,1:00:00 PM,No,Study/complete assignments,$0-10,4,No
4/2/2023 22:18:36,8,3:00:00 AM,11:00:00 AM,Yes,"Study/complete assignments, Go out with friends, Drink coffee",$0-10,3,No
4/3/2023 20:32:59,5,3:00:00 AM,11:00:00 AM,No,"Attend classes, Study/complete assignments",$20-30,5,Yes
4/4/2023 20:18:31,8,3:00:00 AM,10:00:00 AM,Yes,"Study/complete assignments, Go out with friends, Drink coffee",$10-20,3,No
4/5/2023 22:59:21,7,2:00:00 AM,9:00:00 AM,No,"Attend classes, Study/complete assignments, Drink coffee",$10-20,4,About the same
4/6/2023 20:29:04,7,3:00:00 AM,10:00:00 AM,Yes,"Attend classes, Study/complete assignments",$0-10,3,No
4/7/2023 20:14:55,5,2:00:00 AM,12:00:00 PM,No,"Study/complete assignments, Go out with friends",$10-20,7,Yes
4/8/2023 22:49:00,6,4:00:00 AM,11:45:00 AM,No,"Study/complete assignments, Go out with friends, Watch shows/entertainment activities",$0-10,7,About the same
4/9/2023 20:19:48,6,3:00:00 AM,11:45:00 AM,No,"Study/complete assignments, Go out with friends, Drink coffee",$20-30,6,About the same
4/10/2023 20:18:08,6,1:00:00 AM,11:00:00 AM,No,"Attend classes, Study/complete assignments, Go out with friends",$20-30,7,About the same
4/11/2023 20:15:25,7,4:00:00 AM,9:00:00 AM,No,"Attend classes, Study/complete assignments, Drink coffee",$10-20,5,No
4/12/2023 20:15:42,7,3:00:00 AM,9:45:00 AM,No,"Study/complete assignments",$0-10,5,About the same